road_segment,datetime,travel_time
0,2019-12-23 05:00:00,1.8648648648648647
0,2019-12-05 05:00:02,1.6197183098591548
0,2019-12-12 05:00:04,1.7512690355329947
0,2019-12-29 05:00:04,1.9327731092436973
0,2019-12-12 05:00:05,2.2847682119205297
0,2019-12-30 05:00:08,2.0294117647058822
0,2019-12-17 05:00:10,2.262295081967213
0,2019-12-10 05:00:12,1.7512690355329947
0,2019-12-09 05:00:20,2.090909090909091
0,2019-12-12 05:00:20,1.9658119658119657
0,2019-12-03 05:00:22,1.571753986332574
0,2019-12-11 05:00:27,1.5231788079470199
0,2019-12-18 05:00:38,1.5753424657534245
0,2019-12-30 05:00:58,2.4041811846689893
0,2019-12-07 05:01:22,2.005813953488372
0,2019-12-09 05:01:23,1.8598382749326143
0,2019-12-09 05:01:31,2.2186495176848875
0,2019-12-19 05:01:53,2.5
0,2019-12-06 05:01:54,2.3549488054607504
0,2019-12-27 05:01:57,2.307692307692308
0,2019-12-20 05:01:58,1.9884726224783857
0,2019-12-20 05:02:00,2.0535714285714284
0,2019-12-26 05:02:05,1.7249999999999999
0,2019-12-27 05:02:24,1.6428571428571426
0,2019-12-24 05:02:25,2.24025974025974
0,2019-12-08 05:02:36,2.0720720720720722
0,2019-12-09 05:02:38,2.2186495176848875
0,2019-12-08 05:02:47,2.233009708737864
0,2019-12-04 05:02:56,2.5
0,2019-12-06 05:03:14,2.197452229299363
0,2019-12-23 05:03:30,2.0597014925373136
0,2019-12-24 05:03:38,2.363013698630137
0,2019-12-27 05:03:50,2.2475570032573287
0,2019-12-01 05:03:57,2.2549019607843137
0,2019-12-31 05:03:57,2.0414201183431953
0,2019-12-31 05:04:00,2.307692307692308
0,2019-12-25 05:04:28,2.0294117647058822
0,2019-12-06 05:04:43,1.9220055710306407
0,2019-12-11 05:04:43,2.0597014925373136
0,2019-12-27 05:04:44,2.1296296296296293
0,2019-12-22 05:04:59,2.2549019607843137
0,2019-12-22 05:05:00,2.5555555555555554
0,2019-12-21 05:05:29,2.262295081967213
0,2019-12-22 05:05:56,2.1296296296296293
0,2019-12-22 05:05:59,2.2923588039867107
0,2019-12-22 05:06:03,2.4642857142857144
0,2019-12-23 05:06:04,2.103658536585366
0,2019-12-22 05:06:13,2.7058823529411766
0,2019-12-30 05:06:14,2.149532710280374
0,2019-12-04 05:06:19,2.4041811846689893
0,2019-12-16 05:06:22,2.421052631578947
0,2019-12-22 05:06:51,2.5
0,2019-12-31 05:07:08,2.4295774647887325
0,2019-12-24 05:07:49,2.005813953488372
0,2019-12-18 05:07:55,2.149532710280374
0,2019-12-17 05:08:00,2.149532710280374
