original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,name,housenumber,street,suburb,postcode,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
75330918,276,2019-12-25 12:20:59,27.692775,85.32306166666666,15.15,2.9633937352393547,"Ukti Marga, Kathmandu, Kathmandu 44617, Nepal",27.6922121,85.3241468,Ukti Marga,,Ukti Marga,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75331432,276,2019-12-25 12:21:28,27.69378833333333,85.32090333333333,1.03,9.637801046700842,"Maitighar, Kathmandu, Kathmandu 44617, Nepal",27.693875,85.320902,Maitighar,,,,44617,,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75331947,276,2019-12-25 12:21:58,27.694431666666667,85.32010333333334,8.87,2.016714003275185,"Thapathali, Kathmandu 44617, Nepal",27.6944913,85.3200831,,,,Thapathali,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75332459,276,2019-12-25 12:22:28,27.69523833333333,85.32003666666667,13.45,2.87328073720045,"Thapathali, Kathmandu 44617, Nepal",27.6963827,85.3194066,,,,Thapathali,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75332969,276,2019-12-25 12:22:58,27.696956666666665,85.31911166666667,4.68,0.6020242997041862,"Thapathali, Kathmandu 44066, Nepal",27.6967997,85.3191966,,,,Thapathali,44066,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75349997,276,2019-12-25 12:39:21,27.698831666666667,85.319925,13.43,0.9627149936165885,"Prithvi Path, Baghbazar, Kathmandu 44605, Nepal",27.6988499,85.3197807,Prithvi Path,,Prithvi Path,Baghbazar,44605,Kathmandu-28,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75350501,276,2019-12-25 12:39:51,27.698575,85.32118666666666,2.31,0.6029931923874248,"Prithvi Path, Baghbazar, Kathmandu 00446, Nepal",27.698554,85.3213247,Prithvi Path,,Prithvi Path,Baghbazar,00446,Kathmandu-28,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75351010,276,2019-12-25 12:40:21,27.698355,85.321655,2.5,0.4894252198944803,"Singh Durbar, Saras Marg, Ghattekulo, Kathmandu 00446, Nepal",27.696478149999997,85.32461913495442,Singh Durbar,,Saras Marg,Ghattekulo,00446,Kathmandu-29,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75351543,276,2019-12-25 12:40:50,27.697321666666667,85.321405,11.91,2.085780965770588,"Singh Durbar, Saras Marg, Ghattekulo, Kathmandu 00446, Nepal",27.696478149999997,85.32461913495442,Singh Durbar,,Saras Marg,Ghattekulo,00446,Kathmandu-29,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75352139,276,2019-12-25 12:41:25,27.695765,85.32105,7.7,2.4041608275356294,"Singh Durbar, Saras Marg, Ghattekulo, Kathmandu 00446, Nepal",27.696478149999997,85.32461913495442,Singh Durbar,,Saras Marg,Ghattekulo,00446,Kathmandu-29,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
