original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,city,county,state,country,country_code,attribution,attribution_license,attribution_url
75362390,710,2019-12-25 12:51:24,27.706713333333333,85.33354,8.46,38.015673846175936,"Himalayan Bank, Maiti Devi marg, Maitidevi, Kathmandu 44605, Nepal",27.7070549,85.3335234,,Himalayan Bank,Maiti Devi marg,44605,Kathmandu-30,Maitidevi,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75362398,710,2019-12-25 12:51:25,27.705548333333333,85.33353,11.88,0,"Lord Buddha School, Pancha Kumari Marg, Maitidevi, Kathmandu 00446, Nepal",27.7055504,85.33348949089202,,Lord Buddha School,Pancha Kumari Marg,00446,Kathmandu-30,Maitidevi,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75362411,710,2019-12-25 12:51:26,27.704193333333333,85.33275333333333,9.65,11.673670287693907,"The Pizza Fire, Maiti Devi marg, Maitidevi, Kathmandu 00446, Nepal",27.7042885,85.3328034,,The Pizza Fire,Maiti Devi marg,00446,Kathmandu-30,Maitidevi,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75362464,710,2019-12-25 12:51:28,27.704226666666667,85.33168333333333,11.17,17.067582221677757,"Western Union Money Transfer, Dillibazar Sadak, Dillibazar, Kathmandu 44605, Nepal",27.7042414,85.3318559,,Western Union Money Transfer,Dillibazar Sadak,44605,Kathmandu-30,Dillibazar,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75362787,710,2019-12-25 12:51:48,27.70366333333333,85.32659333333334,6.28,2.0930283590089487,"Bansh Ghari, Kathmandu 44605, Nepal",27.7027871,85.3262118,,,,44605,Kathmandu-29,Bansh Ghari,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75363304,710,2019-12-25 12:52:18,27.70179,85.32563333333333,5.8,70.67704140800096,"Kalika Marg 272/40, Kathmandu, Kathmandu Kathmandu - 32, Nepal",27.701902,85.32634,272/40,,Kalika Marg,Kathmandu - 32,,,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75363808,710,2019-12-25 12:52:47,27.701036666666667,85.32439,13.74,6.907318733570024,"Bansh Ghari, Kathmandu 44605, Nepal",27.7027871,85.3262118,,,,44605,Kathmandu-29,Bansh Ghari,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75364315,710,2019-12-25 12:53:17,27.700681666666668,85.3236,17.59,25.316519985041765,"Global IME Bank, New Plaza Marg 29, Bansh Ghari, Kathmandu 44605, Nepal",27.700727,85.323852,29,Global IME Bank,New Plaza Marg,44605,Kathmandu-29,Bansh Ghari,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75364825,710,2019-12-25 12:53:47,27.700505,85.32213666666667,19.08,0.8843422268627807,"Singh Durbar, Saras Marg, Ghattekulo, Kathmandu 00446, Nepal",27.696478149999997,85.32461913495442,,Singh Durbar,Saras Marg,00446,Kathmandu-29,Ghattekulo,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75365340,710,2019-12-25 12:54:17,27.69835833333333,85.321685,5.83,0,"Singh Durbar, Saras Marg, Ghattekulo, Kathmandu 00446, Nepal",27.696478149999997,85.32461913495442,,Singh Durbar,Saras Marg,00446,Kathmandu-29,Ghattekulo,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
