original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,postcode,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
54662211,270,2019-12-11 18:57:53,27.69187833333333,85.32734333333333,0.01,2.556536280482868,"Kathmandu, Kathmandu 44617, Nepal",27.6923583,85.3267156,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54663169,270,2019-12-11 18:58:52,27.69185166666667,85.32735333333333,0.22,4.5600120379774705,"Kathmandu, Kathmandu 44617, Nepal",27.6923583,85.3267156,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
